YearBuilt,ExteriorCondition,GarageCondition,LotArea,FullBath,SalePrice,Fireplaces,TotalRooms,Street,HouseStyle,GarageType,Neighborhood,Latitude,Longitude
1900,Typical,Fair,56600,2,103000,0,7,Pave,Two_and_Half_Unf,Detchd,Iowa_DOT_and_Rail_Road,42.022745,-93.577427
1910,Fair,Typical,21780,1,57625,0,4,Grvl,One_Story,Detchd,Iowa_DOT_and_Rail_Road,42.0183,-93.588227
1941,Typical,Typical,5000,1,87000,0,5,Pave,One_and_Half_Unf,Detchd,Iowa_DOT_and_Rail_Road,42.022658,-93.596569
1925,Good,No_Garage,7288,2,129850,0,6,Pave,One_and_Half_Fin,No_Garage,Iowa_DOT_and_Rail_Road,42.022658,-93.597005
1915,Good,Typical,10320,1,116000,0,7,Pave,Two_Story,Detchd,Iowa_DOT_and_Rail_Road,42.022828,-93.599575
1969,Typical,Typical,10544,2,161000,0,8,Pave,One_and_Half_Fin,Attchd,Mitchell,41.9913,-93.599791
1977,Typical,Typical,9819,2,196000,2,5,Pave,One_Story,Attchd,Mitchell,41.991493,-93.599866
1979,Typical,Typical,23580,2,242500,1,6,Pave,One_Story,Attchd,Mitchell,41.996849,-93.599969
1993,Typical,Typical,9627,2,188000,1,9,Pave,Two_Story,Attchd,Mitchell,41.989265,-93.599996
1994,Good,Typical,9892,2,285000,2,6,Pave,One_Story,Attchd,Mitchell,41.989848,-93.600006
1969,Typical,Typical,11075,2,172000,1,7,Pave,Two_Story,Attchd,Mitchell,41.991885,-93.600066
1993,Good,Typical,12961,2,231000,1,7,Pave,Two_Story,Attchd,Mitchell,41.989185,-93.600147
1974,Typical,Typical,10010,1,170000,1,6,Pave,One_Story,Attchd,Mitchell,41.990921,-93.60019
1969,Excellent,Typical,10457,1,173000,1,7,Pave,Two_Story,Attchd,Mitchell,41.99095,-93.600191
1969,Typical,Typical,13384,1,140000,1,8,Pave,One_Story,Attchd,Mitchell,41.991708,-93.600439
1991,Typical,Typical,10475,1,136000,0,6,Pave,Two_Story,Detchd,Mitchell,41.986647,-93.600582
1969,Typical,Typical,13383,2,160000,1,7,Pave,One_Story,Attchd,Mitchell,41.9928219,-93.600636
1976,Typical,Typical,12328,1,169900,0,6,Pave,SLvl,Attchd,Mitchell,41.994784,-93.600797
1975,Typical,Typical,8750,1,148000,0,4,Pave,SLvl,Attchd,Mitchell,41.995512,-93.60104
1970,Typical,Typical,11836,2,146500,0,8,Pave,One_Story,More_Than_Two_Types,Mitchell,41.991574,-93.601089
1972,Typical,Typical,7689,1,131900,0,4,Pave,SFoyer,Detchd,Mitchell,41.991365,-93.601127
1975,Typical,Typical,11080,2,148000,0,6,Pave,SLvl,Attchd,Mitchell,41.995702,-93.601191
1968,Good,Typical,17979,1,152500,0,6,Pave,One_Story,Attchd,Mitchell,41.993249,-93.601444
1971,Good,Typical,6953,1,130000,0,5,Pave,One_Story,Detchd,Mitchell,41.991558,-93.601449
1970,Typical,Typical,2001,1,75000,0,6,Pave,Two_Story,Attchd,Meadow_Village,41.991709,-93.601507
1970,Good,Typical,7244,1,129500,0,5,Pave,SFoyer,Detchd,Mitchell,41.991371,-93.6015199
1970,Typical,No_Garage,1936,1,90500,0,5,Pave,Two_Story,No_Garage,Meadow_Village,41.99171,-93.601615
